---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:48:46 (uptime: 0d, 00h 00m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961504
tcp.reassembly_memuse                                        | Total                     | 1859584
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7151104
---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:49:10 (uptime: 0d, 00h 00m 33s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 708
decoder.bytes                                                | Total                     | 102424
decoder.ipv4                                                 | Total                     | 611
decoder.ipv6                                                 | Total                     | 97
decoder.tcp                                                  | Total                     | 510
tcp.syn                                                      | Total                     | 11
tcp.synack                                                   | Total                     | 6
tcp.rst                                                      | Total                     | 7
decoder.udp                                                  | Total                     | 191
decoder.icmpv6                                               | Total                     | 7
decoder.avg_pkt_size                                         | Total                     | 144
decoder.max_pkt_size                                         | Total                     | 1480
tcp.active_sessions                                          | Total                     | 8
flow.total                                                   | Total                     | 79
flow.active                                                  | Total                     | 79
flow.tcp                                                     | Total                     | 59
flow.udp                                                     | Total                     | 18
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
tcp.sessions                                                 | Total                     | 8
tcp.ssn_from_pool                                            | Total                     | 8
tcp.segment_from_pool                                        | Total                     | 36
detect.alert                                                 | Total                     | 353
app_layer.flow.http                                          | Total                     | 2
app_layer.tx.http                                            | Total                     | 2
app_layer.flow.tls                                           | Total                     | 4
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 44
app_layer.flow.failed_udp                                    | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 4
app_layer.tx.dns_udp                                         | Total                     | 12
app_layer.flow.sip_udp                                       | Total                     | 10
app_layer.error.sip_udp.parser                               | Total                     | 123
flow.mgr.full_hash_pass                                      | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9600
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 77
flow.mgr.flows_notimeout                                     | Total                     | 77
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961504
tcp.reassembly_memuse                                        | Total                     | 1867776
http.memuse                                                  | Total                     | 1701
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7151104
---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:49:18 (uptime: 0d, 00h 00m 41s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
